,id,created_at,text,lang
27,1356991771553583106,2021-02-03T15:43:44.000Z,Who knew an API could be delicious? https://t.co/0YTsgd7yzH,en
28,1354215875998437376,2021-01-26T23:53:19.000Z,"RT @TwitterOSS: Today we’re happy to share Twitter Text Editor, a standalone, flexible API that provides a full-featured rich text editor f…",en
29,1354143052596568064,2021-01-26T19:03:57.000Z,"We’re excited to support so many more research possibilities with this track - both today, and for years to come. 
 
What do you plan to discover next with Twitter data? 🔎  Let us know!",en
30,1354143051711537153,2021-01-26T19:03:56.000Z,"We know this doesn't represent everyone doing research with Twitter data, so we're building solutions to support the full range of research use cases. Today’s release is just the start of much more to come this year, for all our developers.

👀 the roadmap
https://t.co/rspek8Ph9t",en
31,1354143050025504768,2021-01-26T19:03:56.000Z,"To be eligible for this track, you need to:
• Be a master’s student, PhD, post-doc, faculty, or employee at an academic institution,
• Have a clearly defined research objective, and
• Use this only for non-commercial purposes.
 
More here 👇
https://t.co/GDSZq9LvE5",en
32,1354143049123684354,2021-01-26T19:03:56.000Z,"To get started, new and returning developers must submit an Academic Research application. This process helps us make sure that access to this data will be used safely, securely, and in line with our Developer Policy. 

Apply here 👇
https://t.co/CbusvQ53Ke",en
33,1354143048159031302,2021-01-26T19:03:56.000Z,"Feedback from hundreds of researchers around the world helped shape what’s launching today:
 
• The full history of public conversation data ⌛
• A higher Tweet cap 📈
• Advanced filtering ability 🔍
• Technical resources 🧑‍💻 
• And all available for free 🎉",en
34,1354143047324299264,2021-01-26T19:03:55.000Z,"Academics are one of the biggest groups using the #TwitterAPI to research what’s happening. Their work helps make the world (&amp; Twitter) a better place, and now more than ever, we must enable more of it. 
Introducing 🥁 the Academic Research product track!
https://t.co/nOFiGewAV2",en
35,1346889436626259968,2021-01-06T18:40:40.000Z,"Learn how to use the user Tweet timeline and user mention timeline endpoints in the Twitter API v2 to explore Tweets and mentions 👇

https://t.co/8ef0gXruSD",en
36,1346588685555306497,2021-01-05T22:45:35.000Z,"🔑🔑 On Tuesday, January 12th, we’re removing the ability to view existing consumer API keys from the developer portal. Be sure to save your API keys in a secure place before Tuesday to ensure your access to the #TwitterAPI is not disrupted. Learn more https://t.co/UztnVZrVwa",en
37,1341761599976181763,2020-12-23T15:04:28.000Z,📈 From Tweets to Google Sheets: @JessicaGarson explains how to use Python to seamlessly turn a #TwitterAPI response into a spreadsheet. https://t.co/PYLaPlmUSU,en
38,1339981239294566401,2020-12-18T17:09:57.000Z,"Introducing a new Tweet field on v2 endpoints: “reply_settings"" shows how the Tweet author allowed others to reply to their post. This can help you filter only by Tweets you can reply to, or better analyze public conversations. Learn more about it here 👇 https://t.co/XR09zDvpmZ https://t.co/YIfg7F0En2",en
39,1339975291905527808,2020-12-18T16:46:19.000Z,👋 We're going live on Twitch in just a few minutes! https://t.co/eNn2fvMB7W,en
40,1339682027885522947,2020-12-17T21:21:00.000Z,"Now in the new #TwitterAPI: user Tweet timeline and user mention timeline!
You can now get Tweets composed by or mentioning an account with the #TwitterAPI. Check out today’s announcement for what’s new, use cases, and sample code 👇 https://t.co/L1PBSSjh1Q https://t.co/ydzhCIZ4Cy",en
41,1339662151749910528,2020-12-17T20:02:01.000Z,👀 Don’t sign off for the holidays just yet. We’ve got something else coming your way later this afternoon...,en
42,1339641862265696256,2020-12-17T18:41:23.000Z,"2021 can't come fast enough, but when it does, be on the lookout for functionality to follow/unfollow accounts, and manage and retrieve block and mute relationships using the new #TwitterAPI. Check out our roadmap to see what’s coming next! https://t.co/rspek8xGhV",en
43,1339641861263245315,2020-12-17T18:41:23.000Z,📣 We’re releasing new v2 endpoints today! The follows lookup endpoints enable you to retrieve a person’s follower and following relationships via the #TwitterAPI. Learn more 👇 https://t.co/YT13a2tPFE,en
44,1338971066773905408,2020-12-15T22:15:53.000Z,"💡 Using Twitter data for academic research? Join our next livestream this Friday @ 9am PT on https://t.co/GrtBOXh5Y1!
 
@SuhemParack will show how to get started with recent search &amp; filtered stream endpoints on the #TwitterAPI v2, the new Tweet payload, annotations, &amp; more. https://t.co/IraD2Z7wEg",en
45,1338923691497959425,2020-12-15T19:07:38.000Z,📈 Live now with @jessicagarson and @i_am_daniele! https://t.co/Y1AFzsTTxb,en
46,1337498609819021312,2020-12-11T20:44:52.000Z,"Thanks to everyone who tuned in today to make music with the #TwitterAPI!

Next week on Twitch - @iamdaniele and @jessicagarson will show you how to integrate the #TwitterAPI and Google Sheets 📈. Tuesday, Dec 15th at 2pm ET. 

https://t.co/SQziic6eyp",en
47,1337464482654793740,2020-12-11T18:29:16.000Z,🎧💻 We're live! Tune in! 🎶 https://t.co/FSYP4rJdHr,en
48,1337122535188652033,2020-12-10T19:50:29.000Z,"👂We want to hear what you think about our plans. As we continue to build our new product tracks, your feedback is essential to shaping the future of the Twitter API. Share your thoughts on this survey: https://t.co/dkIqFGPji7",en
49,1337122534173663235,2020-12-10T19:50:29.000Z,"Is 2020 over yet?
Despite everything that happened this year, thousands of you still made the time to learn, play, and build incredible things on the new #TwitterAPI.
We want to share some of your stories and give you a preview of what’s to come next year.
https://t.co/VpOKT22WgF",en
